16,16
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
255,165,66,255
0,0,0,0
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
0,0,0,0
255,165,66,255
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
255,165,66,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
255,165,66,255
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
255,165,66,255
231,90,16,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
231,90,16,255
255,165,66,255
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
255,165,66,255
255,165,66,255
231,90,16,255
231,90,16,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
231,90,16,255
231,90,16,255
255,165,66,255
255,165,66,255
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
255,165,66,255
231,90,16,255
231,90,16,255
231,90,16,255
189,255,24,255
189,255,24,255
231,90,16,255
231,90,16,255
231,90,16,255
255,165,66,255
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
231,90,16,255
189,255,24,255
231,90,16,255
231,90,16,255
231,90,16,255
231,90,16,255
231,90,16,255
231,90,16,255
189,255,24,255
231,90,16,255
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
231,90,16,255
231,90,16,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
231,90,16,255
231,90,16,255
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
255,165,66,255
231,90,16,255
231,90,16,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
231,90,16,255
231,90,16,255
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
255,165,66,255
231,90,16,255
231,90,16,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
231,90,16,255
231,90,16,255
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
255,165,66,255
255,165,66,255
189,255,24,255
231,90,16,255
231,90,16,255
231,90,16,255
231,90,16,255
231,90,16,255
231,90,16,255
189,255,24,255
189,255,24,255
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
231,90,16,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
189,255,24,255
231,90,16,255
231,90,16,255
231,90,16,255
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
231,90,16,255
231,90,16,255
0,0,0,0
0,0,0,0
231,90,16,255
231,90,16,255
231,90,16,255
231,90,16,255
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
231,90,16,255
231,90,16,255
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
